2025-04-23 19:10:44 - Error al ejecutar el procedimiento 'FIDE_SEGURIDAD_PKG.FIDE_REGISTRAR_LOG_ACCESO_PROC': ORA-06550: line 1, column 7:
PLS-00201: identifier 'FIDE_SEGURIDAD_PKG.FIDE_REGISTRAR_LOG_ACCESO_PROC' must be declared
ORA-06550: line 1, column 7:
PL/SQL: Statement ignored
[2025-04-23 19:10:44] [::1] [Not logged in] Error al registrar cierre de sesión: Error al llamar al procedimiento 'FIDE_SEGURIDAD_PKG.FIDE_REGISTRAR_LOG_ACCESO_PROC': Error al ejecutar el procedimiento 'FIDE_SEGURIDAD_PKG.FIDE_REGISTRAR_LOG_ACCESO_PROC': ORA-06550: line 1, column 7:
PLS-00201: identifier 'FIDE_SEGURIDAD_PKG.FIDE_REGISTRAR_LOG_ACCESO_PROC' must be declared
ORA-06550: line 1, column 7:
PL/SQL: Statement ignored
2025-04-23 19:11:04 - Error al ejecutar el procedimiento 'FIDE_SEGURIDAD_PKG.FIDE_REGISTRAR_LOG_ACCESO_PROC': ORA-06550: line 1, column 7:
PLS-00201: identifier 'FIDE_SEGURIDAD_PKG.FIDE_REGISTRAR_LOG_ACCESO_PROC' must be declared
ORA-06550: line 1, column 7:
PL/SQL: Statement ignored
[2025-04-23 19:11:04] [::1] [user1] Error en login: Error al llamar al procedimiento 'FIDE_SEGURIDAD_PKG.FIDE_REGISTRAR_LOG_ACCESO_PROC': Error al ejecutar el procedimiento 'FIDE_SEGURIDAD_PKG.FIDE_REGISTRAR_LOG_ACCESO_PROC': ORA-06550: line 1, column 7:
PLS-00201: identifier 'FIDE_SEGURIDAD_PKG.FIDE_REGISTRAR_LOG_ACCESO_PROC' must be declared
ORA-06550: line 1, column 7:
PL/SQL: Statement ignored
[2025-04-23 20:19:40] [::1] [user1] Error al formatear fecha: Failed to parse time string (25-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 20:19:40] [::1] [user1] Error al formatear fecha: Failed to parse time string (26-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 20:19:40] [::1] [user1] Error al formatear fecha: Failed to parse time string (27-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 20:19:40] [::1] [user1] Error al formatear fecha: Failed to parse time string (28-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 20:19:49] [::1] [user1] Error al formatear fecha: Failed to parse time string (24-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 20:19:49] [::1] [user1] Error al formatear fecha: Failed to parse time string (25-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 20:19:49] [::1] [user1] Error al formatear fecha: Failed to parse time string (26-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 20:19:49] [::1] [user1] Error al formatear fecha: Failed to parse time string (27-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 20:19:49] [::1] [user1] Error al formatear fecha: Failed to parse time string (28-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 20:20:00] [::1] [user1] Error al formatear fecha: Failed to parse time string (24-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 20:20:00] [::1] [user1] Error al formatear fecha: Failed to parse time string (25-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 20:20:00] [::1] [user1] Error al formatear fecha: Failed to parse time string (26-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 20:20:00] [::1] [user1] Error al formatear fecha: Failed to parse time string (27-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 20:20:00] [::1] [user1] Error al formatear fecha: Failed to parse time string (28-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 20:20:10] [::1] [user1] Error al formatear fecha: Failed to parse time string (24-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 20:20:10] [::1] [user1] Error al formatear fecha: Failed to parse time string (25-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 20:20:10] [::1] [user1] Error al formatear fecha: Failed to parse time string (26-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 20:20:10] [::1] [user1] Error al formatear fecha: Failed to parse time string (27-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 20:20:10] [::1] [user1] Error al formatear fecha: Failed to parse time string (28-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 20:20:11] [::1] [user1] Error al formatear fecha: Failed to parse time string (24-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 20:20:11] [::1] [user1] Error al formatear fecha: Failed to parse time string (25-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 20:20:11] [::1] [user1] Error al formatear fecha: Failed to parse time string (26-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 20:20:11] [::1] [user1] Error al formatear fecha: Failed to parse time string (27-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 20:20:11] [::1] [user1] Error al formatear fecha: Failed to parse time string (28-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 20:20:11] [::1] [user1] Error al formatear fecha: Failed to parse time string (24-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 20:20:11] [::1] [user1] Error al formatear fecha: Failed to parse time string (25-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 20:20:11] [::1] [user1] Error al formatear fecha: Failed to parse time string (26-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 20:20:11] [::1] [user1] Error al formatear fecha: Failed to parse time string (27-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 20:20:11] [::1] [user1] Error al formatear fecha: Failed to parse time string (28-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 20:32:33] [::1] [user1] Error al formatear fecha: Failed to parse time string (23-APR-25 08:32:12.947000 PM) at position 26 (P): The timezone could not be found in the database
[2025-04-23 20:49:50] [::1] [user1] Error al formatear fecha: Failed to parse time string (23-APR-25 08:32:12.947000 PM) at position 26 (P): The timezone could not be found in the database
[2025-04-23 21:31:50] [::1] [user1] Error al formatear fecha: Failed to parse time string (23-APR-25 08:32:12.947000 PM) at position 26 (P): The timezone could not be found in the database
[2025-04-23 22:01:35] [::1] [user1] Error al formatear fecha: Failed to parse time string (24-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 22:01:35] [::1] [user1] Error al formatear fecha: Failed to parse time string (25-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 22:01:35] [::1] [user1] Error al formatear fecha: Failed to parse time string (26-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 22:01:35] [::1] [user1] Error al formatear fecha: Failed to parse time string (27-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 22:01:35] [::1] [user1] Error al formatear fecha: Failed to parse time string (28-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 22:01:50] [::1] [user1] Error al formatear fecha: Failed to parse time string (24-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 22:01:50] [::1] [user1] Error al formatear fecha: Failed to parse time string (25-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 22:01:50] [::1] [user1] Error al formatear fecha: Failed to parse time string (26-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 22:01:50] [::1] [user1] Error al formatear fecha: Failed to parse time string (27-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 22:01:50] [::1] [user1] Error al formatear fecha: Failed to parse time string (28-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 22:02:35] [::1] [user1] Error al formatear fecha: Failed to parse time string (24-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 22:02:35] [::1] [user1] Error al formatear fecha: Failed to parse time string (25-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 22:02:35] [::1] [user1] Error al formatear fecha: Failed to parse time string (26-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 22:02:35] [::1] [user1] Error al formatear fecha: Failed to parse time string (27-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 22:02:35] [::1] [user1] Error al formatear fecha: Failed to parse time string (28-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 22:26:50] [::1] [user1] Error al formatear fecha: Failed to parse time string (24-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 22:26:50] [::1] [user1] Error al formatear fecha: Failed to parse time string (25-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 22:26:50] [::1] [user1] Error al formatear fecha: Failed to parse time string (26-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 22:26:50] [::1] [user1] Error al formatear fecha: Failed to parse time string (27-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 22:26:50] [::1] [user1] Error al formatear fecha: Failed to parse time string (28-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 22:27:02] [::1] [user1] Error al formatear fecha: Failed to parse time string (23-APR-25 08:32:12.947000 PM) at position 26 (P): The timezone could not be found in the database
[2025-04-23 22:27:19] [::1] [user1] Error al formatear fecha: Failed to parse time string (23-APR-25 08:32:12.947000 PM) at position 26 (P): The timezone could not be found in the database
[2025-04-23 22:27:23] [::1] [user1] Error al formatear fecha: Failed to parse time string (23-APR-25 08:32:12.947000 PM) at position 26 (P): The timezone could not be found in the database
[2025-04-23 22:27:27] [::1] [user1] Error al formatear fecha: Failed to parse time string (23-APR-25 08:32:12.947000 PM) at position 26 (P): The timezone could not be found in the database
[2025-04-23 22:27:35] [::1] [user1] Error al formatear fecha: Failed to parse time string (23-APR-25 08:32:12.947000 PM) at position 26 (P): The timezone could not be found in the database
[2025-04-23 22:27:38] [::1] [user1] Error al formatear fecha: Failed to parse time string (23-APR-25 08:32:12.947000 PM) at position 26 (P): The timezone could not be found in the database
[2025-04-23 22:27:40] [::1] [user1] Error al formatear fecha: Failed to parse time string (23-APR-25 08:32:12.947000 PM) at position 26 (P): The timezone could not be found in the database
[2025-04-23 22:33:46] [::1] [user1] Error al formatear fecha: Failed to parse time string (24-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 22:33:46] [::1] [user1] Error al formatear fecha: Failed to parse time string (25-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 22:33:46] [::1] [user1] Error al formatear fecha: Failed to parse time string (26-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 22:33:46] [::1] [user1] Error al formatear fecha: Failed to parse time string (27-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 22:33:46] [::1] [user1] Error al formatear fecha: Failed to parse time string (28-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 22:33:50] [::1] [user1] Error al formatear fecha: Failed to parse time string (24-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 22:33:50] [::1] [user1] Error al formatear fecha: Failed to parse time string (25-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 22:33:50] [::1] [user1] Error al formatear fecha: Failed to parse time string (26-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 22:33:50] [::1] [user1] Error al formatear fecha: Failed to parse time string (27-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 22:33:50] [::1] [user1] Error al formatear fecha: Failed to parse time string (28-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 22:33:52] [::1] [user1] Error al formatear fecha: Failed to parse time string (24-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 22:33:52] [::1] [user1] Error al formatear fecha: Failed to parse time string (25-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 22:33:52] [::1] [user1] Error al formatear fecha: Failed to parse time string (26-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 22:33:52] [::1] [user1] Error al formatear fecha: Failed to parse time string (27-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 22:33:52] [::1] [user1] Error al formatear fecha: Failed to parse time string (28-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 22:33:52] [::1] [user1] Error al formatear fecha: Failed to parse time string (24-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 22:33:52] [::1] [user1] Error al formatear fecha: Failed to parse time string (25-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 22:33:52] [::1] [user1] Error al formatear fecha: Failed to parse time string (26-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 22:33:52] [::1] [user1] Error al formatear fecha: Failed to parse time string (27-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 22:33:52] [::1] [user1] Error al formatear fecha: Failed to parse time string (28-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 22:33:52] [::1] [user1] Error al formatear fecha: Failed to parse time string (24-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 22:33:52] [::1] [user1] Error al formatear fecha: Failed to parse time string (25-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 22:33:52] [::1] [user1] Error al formatear fecha: Failed to parse time string (26-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 22:33:52] [::1] [user1] Error al formatear fecha: Failed to parse time string (27-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 22:33:52] [::1] [user1] Error al formatear fecha: Failed to parse time string (28-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 22:43:47] [::1] [user1] Error al formatear fecha: Failed to parse time string (24-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 22:43:47] [::1] [user1] Error al formatear fecha: Failed to parse time string (25-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 22:43:47] [::1] [user1] Error al formatear fecha: Failed to parse time string (26-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 22:43:47] [::1] [user1] Error al formatear fecha: Failed to parse time string (27-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 22:43:47] [::1] [user1] Error al formatear fecha: Failed to parse time string (28-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 22:43:48] [::1] [user1] Error al formatear fecha: Failed to parse time string (24-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 22:43:48] [::1] [user1] Error al formatear fecha: Failed to parse time string (25-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 22:43:48] [::1] [user1] Error al formatear fecha: Failed to parse time string (26-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 22:43:48] [::1] [user1] Error al formatear fecha: Failed to parse time string (27-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 22:43:48] [::1] [user1] Error al formatear fecha: Failed to parse time string (28-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 22:43:54] [::1] [user1] Error al formatear fecha: Failed to parse time string (23-APR-25 08:32:12.947000 PM) at position 26 (P): The timezone could not be found in the database
[2025-04-23 22:43:58] [::1] [user1] Error al formatear fecha: Failed to parse time string (23-APR-25 08:32:12.947000 PM) at position 26 (P): The timezone could not be found in the database
[2025-04-23 22:54:11] [::1] [user1] Error al formatear fecha: Failed to parse time string (23-APR-25 08:32:12.947000 PM) at position 26 (P): The timezone could not be found in the database
[2025-04-23 22:54:15] [::1] [user1] Error al formatear fecha: Failed to parse time string (24-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 22:54:15] [::1] [user1] Error al formatear fecha: Failed to parse time string (25-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 22:54:15] [::1] [user1] Error al formatear fecha: Failed to parse time string (26-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 22:54:15] [::1] [user1] Error al formatear fecha: Failed to parse time string (27-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 22:54:15] [::1] [user1] Error al formatear fecha: Failed to parse time string (28-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 22:54:16] [::1] [user1] Error al formatear fecha: Failed to parse time string (23-APR-25 08:32:12.947000 PM) at position 26 (P): The timezone could not be found in the database
[2025-04-23 22:54:36] [::1] [user1] Error al formatear fecha: Failed to parse time string (24-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 22:54:36] [::1] [user1] Error al formatear fecha: Failed to parse time string (25-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 22:54:36] [::1] [user1] Error al formatear fecha: Failed to parse time string (26-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 22:54:36] [::1] [user1] Error al formatear fecha: Failed to parse time string (27-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 22:54:36] [::1] [user1] Error al formatear fecha: Failed to parse time string (28-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 22:56:29] [::1] [user1] Error al formatear fecha: Failed to parse time string (24-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 22:56:29] [::1] [user1] Error al formatear fecha: Failed to parse time string (25-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 22:56:29] [::1] [user1] Error al formatear fecha: Failed to parse time string (26-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 22:56:29] [::1] [user1] Error al formatear fecha: Failed to parse time string (27-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 22:56:29] [::1] [user1] Error al formatear fecha: Failed to parse time string (28-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 22:59:14] [::1] [user1] Error al formatear fecha: Failed to parse time string (24-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 22:59:14] [::1] [user1] Error al formatear fecha: Failed to parse time string (25-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 22:59:14] [::1] [user1] Error al formatear fecha: Failed to parse time string (26-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 22:59:14] [::1] [user1] Error al formatear fecha: Failed to parse time string (27-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 22:59:14] [::1] [user1] Error al formatear fecha: Failed to parse time string (28-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 22:59:17] [::1] [user1] Error al formatear fecha: Failed to parse time string (23-APR-25 08:32:12.947000 PM) at position 26 (P): The timezone could not be found in the database
[2025-04-23 22:59:18] [::1] [user1] Error al formatear fecha: Failed to parse time string (24-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 22:59:18] [::1] [user1] Error al formatear fecha: Failed to parse time string (25-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 22:59:18] [::1] [user1] Error al formatear fecha: Failed to parse time string (26-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 22:59:18] [::1] [user1] Error al formatear fecha: Failed to parse time string (27-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 22:59:18] [::1] [user1] Error al formatear fecha: Failed to parse time string (28-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
